event_date,year,event_type,sub_event_type,admin1,admin2,admin3,location,latitude,longitude,fatalities,notes,month
1998-05-31,1998,Battles,Armed clash,Tigray,Eastern Tigray,Erob,Alitena,14.5264,39.5671,0,"Eritrea makes incursion onto Ethiopian soil, skirmish ensues",5
1998-06-02,1998,Battles,Armed clash,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,0,"Eritrea attacks Ethiopian town of Zalambesa, capture the town after three days of fighting",6
1998-06-03,1998,Battles,Armed clash,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,0,"Eritrea attacks Ethiopian town of Zalambesa, capture the town after three days of fighting",6
1998-06-03,1998,Battles,Armed clash,Tigray,Eastern Tigray,Erob,Alitena,14.5264,39.5671,0,Ethiopia claims to repel Eritrean attacks,6
1998-06-04,1998,Battles,Armed clash,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,0,"Eritrea attacks Ethiopian town of Zalambesa, capture the town after three days of fighting",6
1998-06-05,1998,Explosions/Remote violence,Remote explosive/landmine/IED,Tigray,Mekelle Tigray,Mekelle,Mekele,13.5,39.4667,0,Eritrean forces bomb villagers,6
1998-06-06,1998,Explosions/Remote violence,Remote explosive/landmine/IED,Tigray,Mekelle Tigray,Mekelle,Mekele,13.5,39.4667,51,Eritrean forces bomb villagers,6
1998-06-06,1998,Explosions/Remote violence,Shelling/artillery/missile attack,Tigray,Mekelle Tigray,Mekelle,Mekele,13.5,39.4667,0,Ethiopian forces shoot down Eritrean warplane,6
1998-06-09,1998,Battles,Armed clash,Tigray,Eastern Tigray,Zala Anbesa town,Zela Ambesa,14.5219,39.385,0,Ethiopian military exchanges fire with Eritrean forces,6
1998-06-11,1998,Explosions/Remote violence,Air/drone strike,Tigray,Eastern Tigray,Adigrat town,Adigrat,14.277,39.462,0,Eritrean forces bomb Ethiopian military targets,6
1998-06-11,1998,Battles,Armed clash,Afar,Awsi-Zone 1,Elidar,Bure,12.6042,42.2718,600,Ethiopian military exchanges fire with Eritrean forces,6
1998-06-11,1998,Explosions/Remote violence,Air/drone strike,Tigray,Eastern Tigray,Adigrat town,Adigrat,14.277,39.462,4,Eritrean forces bomb villagers,6
