"Service","Project Geographic Location","","","","","","","","","","","","","","","","","","","","","",""
"Data Classification","Official Use Only","","","","","","","","","","","","","","","","","","","","","",""
"Data Extract As Of","25 February 2026 01:34 PM EST","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","",""
PROJ_ID,GEO_LOC_ID,PLACE_ID,WBG_CNTRY_KEY,ISO_CNTRY_CODE,GEO_LOC_NME,GEO_LATITUDE_NBR,GEO_LONGITUDE_NBR,ADMIN_UNIT1_CODE,ADMIN_UNIT1_NAME,ADMIN_UNIT2_CODE,ADMIN_UNIT2_NAME,FEAT_CLASS_CODE,FEAT_CLASS_NAME,FEAT_CLASS_TEXT,FEAT_CODE,FEAT_NAME,POP_CNT,PROPOSED_IND,ACT_IND,SAP_UPD_DATE,SAP_UPD_USER_ID,UPD_DATE,LAST_CHGD_BY
P106872,335649,PLA0001830,,ET,Guliso,9.1666698,35.466671,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P099480,335797,PLA0001831,,ET,Guba,11.26667,35.283329,47,The State of Benshangul/Gumuz,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P082998,335797,PLA0001832,,ET,Guba,11.26667,35.283329,47,The State of Benshangul/Gumuz,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P107139,341397,PLA0001978,,ET,Bure,10.7,37.066669,46,The State of Amhara,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P090789,341397,PLA0001979,,ET,Bure,10.7,37.066669,46,The State of Amhara,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P107139,341664,PLA0001980,,ET,Borena Awraja,4.6666698,40.0,51,Oromia Regional State,,,A,,,ADMD,administrative division,0,,,,,2011-07-01,
P101556,341664,PLA0001981,,ET,Borena Awraja,4.6666698,40.0,51,Oromia Regional State,,,A,,,ADMD,administrative division,0,,,,,2011-07-01,
P049395,341680,PLA0001982,,ET,Boreda,9.3353996,41.28569,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P091077,341689,PLA0001983,,ET,Bore,6.3666701,38.616669,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P107139,341721,PLA0001984,,ET,Boo,9.3666697,35.816669,47,The State of Benshangul/Gumuz,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P049395,341963,PLA0001985,,ET,Bitata,5.46667,39.48333,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P101474,341981,PLA0001986,,ET,Bishoftu,9.1000004,37.25,51,Oromia Regional State,,,P,,,PPL,populated place,0,,X,,,2011-10-18,WB165448
P101556,342190,PLA0001987,,ET,Bichena,10.45,38.200001,46,The State of Amhara,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P101556,342347,PLA0001988,,ET,Berbere,7.0833302,40.799999,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P096323,342423,PLA0001989,,ET,Beles Shet',11.9,39.466671,46,The State of Amhara,,,H,,,STM,stream,0,,X,,,2015-06-12,WB88572
P049395,444179,PLA0002424,,ET,Afar Kilil,12.0,41.5,45,Afar Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P091077,444179,PLA0002425,,ET,Afar Kilil,12.0,41.5,45,Afar Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P101556,444179,PLA0002426,,ET,Afar Kilil,12.0,41.5,45,Afar Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P106872,444179,PLA0002427,,ET,Afar Kilil,12.0,41.5,45,Afar Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P113220,444179,PLA0002428,,ET,Afar Kilil,12.0,41.5,45,Afar Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P108932,444179,PLA0002429,,ET,Afar Kilil,12.0,41.5,45,Afar Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P113220,444184,PLA0002430,,ET,Harari Hizb Kilil,9.25,42.166672,50,Harari Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P049395,444184,PLA0002431,,ET,Harari Hizb Kilil,9.25,42.166672,50,Harari Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P049395,444185,PLA0002432,,ET,Oromiya Kilil,8.0,39.0,51,Oromia Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P091077,444185,PLA0002433,,ET,Oromiya Kilil,8.0,39.0,51,Oromia Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P107139,326141,PLA0001518,,ET,Weyra Wuha,12.45,39.76667,53,Tigray Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P074011,326265,PLA0001519,,ET,Weregenu,9.0166702,38.633331,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P101556,326394,PLA0001520,,ET,Welega,9.3000002,35.366669,51,Oromia Regional State,,,L,,,LCTY,locality,0,,,,,2011-07-01,
P049395,326652,PLA0001521,,ET,Walga Wenz,8.3333302,37.466671,51,Oromia Regional State,,,H,,,STM,stream,0,,,,,2011-07-01,
P101556,327544,PLA0001522,,ET,Cima,10.85,37.01667,46,The State of Amhara,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P090789,327739,PLA0001523,,ET,Temben Awraja,13.5,39.0,53,Tigray Regional State,,,A,,,ADMD,administrative division,0,,,,,2011-07-01,
P092353,327932,PLA0001524,,ET,Lake Tana,12.0,37.333328,46,The State of Amhara,,,H,,,LK,lake,0,,,,,2011-07-01,
P096323,327932,PLA0001525,,ET,Lake Tana,12.0,37.333328,46,The State of Amhara,,,H,,,LK,lake,0,,X,,,2015-06-12,WB88572
P101474,328247,PLA0001526,,ET,Sodo,6.9000001,37.75,54,SSNPR,,,P,,,PPL,populated place,0,,X,,,2011-10-18,WB165448
P090789,328630,PLA0001527,,ET,Sheko,7.0666699,35.650002,54,SSNPR,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P107139,328630,PLA0001528,,ET,Sheko,7.0666699,35.650002,54,SSNPR,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P091077,328649,PLA0001529,,ET,Shehet,13.35531,39.75478,45,Afar Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P101474,328689,PLA0001530,,ET,Shashemene,7.1999998,38.599998,51,Oromia Regional State,,,P,,,PPL,populated place,0,,X,,,2011-10-18,WB165448
P049395,328776,PLA0001531,,ET,Seru,7.6666698,40.200001,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P107139,328932,PLA0001532,,ET,Selekleka,14.11389,38.475559,53,Tigray Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P101556,338634,PLA0001673,,ET,Dora,10.07343,39.81358,46,The State of Amhara,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P117644,338726,PLA0001674,,ET,Dodola,6.9833298,39.183331,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P082998,338726,PLA0001675,,ET,Dodola,6.9833298,39.183331,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P099480,338726,PLA0001676,,ET,Dodola,6.9833298,39.183331,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P049395,338750,PLA0001677,,ET,Dobi,9.7333298,36.833328,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P101556,338770,PLA0001678,,ET,Doba,9.2857199,41.093971,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P049395,339004,PLA0001679,,ET,Diksis,8.0500002,39.549999,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P101474,339219,PLA0001680,,ET,Dese,11.13333,39.633331,46,The State of Amhara,,,P,,,PPL,populated place,0,,X,,,2011-10-18,WB165448
P120172,339219,PLA0001681,,ET,Dese,11.13333,39.633331,46,The State of Amhara,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P082998,339318,PLA0001682,,ET,Dera,8.6333303,39.549999,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P101556,339622,PLA0001683,,ET,Dedo,7.5166702,36.866669,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P049395,340121,PLA0001684,,ET,Dalocha,7.78333,38.25,54,SSNPR,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P107139,340304,PLA0001685,,ET,Dachi,6.9333301,37.183331,54,SSNPR,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P049395,341826,PLA0001686,,ET,Boko,6.9333301,40.150002,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P091077,326320,PLA0001693,,ET,Wendo,9.7333298,37.200001,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P106872,326355,PLA0001694,,ET,Wolkite,8.28333,37.783329,54,SSNPR,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P082998,326406,PLA0001695,,ET,Weldiya,11.8277,39.59164,46,The State of Amhara,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P099480,326406,PLA0001696,,ET,Weldiya,11.8277,39.59164,46,The State of Amhara,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P049395,326706,PLA0001697,,ET,Wadera,5.75,39.316669,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P101556,328354,PLA0001698,,ET,Simen Awraja,13.25,38.25,46,The State of Amhara,,,A,,,ADMD,administrative division,0,,,,,2011-07-01,
P107139,328370,PLA0001699,,ET,Silt'e,8.0166702,38.333328,54,SSNPR,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P113032,328435,PLA0001700,,ET,Sidama Awraja,6.75,38.5,54,SSNPR,,,A,,,ADMD,administrative division,0,,,,,2011-07-01,
P082998,328526,PLA0001701,,ET,Shire,14.13833,38.402779,53,Tigray Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P090789,329358,PLA0001533,,ET,Sama Gaba,8.0500002,35.166672,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P049395,329376,PLA0001534,,ET,Sali,11.71667,38.349998,46,The State of Amhara,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P090789,329585,PLA0001535,,ET,Robit,12.35,37.366669,46,The State of Amhara,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P049395,344979,PLA0002109,,ET,Addis Ababa,9.0249701,38.746891,44,Adis Abeba Astedader,,,P,,,PPLC,capital of a political entity,0,,,,,2011-07-01,
P101474,345149,PLA0002110,,ET,Adigrat,14.277,39.462002,53,Tigray Regional State,,,P,,,PPL,populated place,0,,X,,,2011-10-18,WB165448
P049395,345408,PLA0002111,,ET,Adele,8.5546103,41.02224,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P049395,345781,PLA0002112,,ET,Abelti,8.1666698,37.566669,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P099480,328526,PLA0001702,,ET,Shire,14.13833,38.402779,53,Tigray Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P101474,328526,PLA0001703,,ET,Shire,14.13833,38.402779,53,Tigray Regional State,,,P,,,PPL,populated place,0,,X,,,2011-10-18,WB165448
P101556,328577,PLA0001704,,ET,Shewa Kifle Hager,9.0,39.0,51,Oromia Regional State,,,A,,,ADMD,administrative division,0,,,,,2011-07-01,
P101556,328579,PLA0001705,,ET,Shewa Gimira,6.96667,35.76667,54,SSNPR,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P099480,328688,PLA0001706,,ET,Shashemene,8.78333,38.716671,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P049395,342446,PLA0001708,,ET,Bele,6.7666702,40.433331,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P049395,342562,PLA0001709,,ET,Bedeno,9.1097202,41.631939,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P049395,343088,PLA0001710,,ET,Awubere,9.6344404,43.244438,52,Somalia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P101473,343137,PLA0001712,,ET,Awasa,7.0620499,38.476349,54,SSNPR,,,P,,,PPLA,seat of a first-order administrative division,0,,,,,2011-07-01,
P120172,343137,PLA0001713,,ET,Awasa,7.0620499,38.476349,54,SSNPR,,,P,,,PPLA,seat of a first-order administrative division,0,,,,,2011-07-01,
P049395,343591,PLA0001714,,ET,Arek'it,10.37225,39.709469,46,The State of Amhara,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P091077,336014,PLA0001854,,ET,Gonder,12.6,37.466671,46,The State of Amhara,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P074011,336014,PLA0001855,,ET,Gonder,12.6,37.466671,46,The State of Amhara,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P101473,336014,PLA0001856,,ET,Gonder,12.6,37.466671,46,The State of Amhara,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P101474,336014,PLA0001857,,ET,Gonder,12.6,37.466671,46,The State of Amhara,,,P,,,PPL,populated place,0,,X,,,2011-10-18,WB165448
P107139,336164,PLA0001859,,ET,Gojam Kifle Hager,11.0,37.0,46,The State of Amhara,,,A,,,ADMD,administrative division,0,,,,,2011-07-01,
P101556,342817,PLA0001990,,ET,Bale Kifle Hager,6.7713399,40.513489,52,Somalia Regional State,,,A,,,ADMD,administrative division,0,,,,,2011-07-01,
P101556,342884,PLA0001991,,ET,Bahir Dar,11.59364,37.39077,46,The State of Amhara,,,P,,,PPLA,seat of a first-order administrative division,0,,,,,2011-07-01,
P120172,342884,PLA0001992,,ET,Bahir Dar,11.59364,37.39077,46,The State of Amhara,,,P,,,PPLA,seat of a first-order administrative division,0,,,,,2011-07-01,
P101474,342884,PLA0001993,,ET,Bahir Dar,11.59364,37.39077,46,The State of Amhara,,,P,,,PPLA,seat of a first-order administrative division,0,,X,,,2011-10-18,WB165448
P077380,342884,PLA0001994,,ET,Bahir Dar,11.59364,37.39077,46,The State of Amhara,,,P,,,PPLA,seat of a first-order administrative division,0,,,,,2011-07-01,
P074011,342884,PLA0001995,,ET,Bahir Dar,11.59364,37.39077,46,The State of Amhara,,,P,,,PPLA,seat of a first-order administrative division,0,,,,,2011-07-01,
P101556,336164,PLA0001860,,ET,Gojam Kifle Hager,11.0,37.0,46,The State of Amhara,,,A,,,ADMD,administrative division,0,,,,,2011-07-01,
P099480,336215,PLA0001861,,ET,Gof Gof,11.75,38.400002,46,The State of Amhara,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P082998,336215,PLA0001862,,ET,Gof Gof,11.75,38.400002,46,The State of Amhara,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P049395,336215,PLA0001863,,ET,Gof Gof,11.75,38.400002,46,The State of Amhara,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P082998,336350,PLA0001864,,ET,Goba,7.0166702,39.98333,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P099480,336350,PLA0001865,,ET,Goba,7.0166702,39.98333,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P090789,336372,PLA0001866,,ET,Giyon,8.5341702,37.965149,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P107139,336372,PLA0001867,,ET,Giyon,8.5341702,37.965149,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P113032,336372,PLA0001868,,ET,Giyon,8.5341702,37.965149,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P091077,337083,PLA0001869,,ET,Gedo,9.0166702,37.450001,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P106872,337093,PLA0001870,,ET,Gedi Adis,9.1999998,35.73333,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P101556,337712,PLA0001871,,ET,Finote Selam,10.7,37.26667,46,The State of Amhara,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P049395,337877,PLA0001872,,ET,Fedis,9.2503796,42.09164,51,Oromia Regional State,,,P,,,PPL,populated place,0,,,,,2011-07-01,
P049395,337996,PLA0001873,,ET,Federal Democratic Republic of Ethiopia,9.0,39.5,,,,,A,,,PCLI,independent political entity,0,,,,,2011-07-01,
P074020,337996,PLA0001874,,ET,Federal Democratic Republic of Ethiopia,9.0,39.5,,,,,A,,,PCLI,independent political entity,0,,,,,2011-07-01,
P097271,444185,PLA0002434,,ET,Oromiya Kilil,8.0,39.0,51,Oromia Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P082998,444185,PLA0002435,,ET,Oromiya Kilil,8.0,39.0,51,Oromia Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P090789,444185,PLA0002436,,ET,Oromiya Kilil,8.0,39.0,51,Oromia Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P099480,444185,PLA0002438,,ET,Oromiya Kilil,8.0,39.0,51,Oromia Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P113220,444185,PLA0002439,,ET,Oromiya Kilil,8.0,39.0,51,Oromia Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P113032,444185,PLA0002440,,ET,Oromiya Kilil,8.0,39.0,51,Oromia Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P108932,444185,PLA0002441,,ET,Oromiya Kilil,8.0,39.0,51,Oromia Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P106872,444185,PLA0002442,,ET,Oromiya Kilil,8.0,39.0,51,Oromia Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
P101556,444185,PLA0002443,,ET,Oromiya Kilil,8.0,39.0,51,Oromia Regional State,,,A,,,ADM1,first-order administrative division,0,,,,,2011-07-01,
