ADM3_PCODE,ADM3_EN,ADM2_PCODE,ADM2_EN,ADM1_PCODE,ADM1_EN,ADM0_PCODE,year,month,ACLED_BRD_total,GID_0,GID_3,ACLED_BRD_state,ACLED_BRD_nonstate
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,1998,5,15,ETH,ET010101,7.5,7.5
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,1998,10,11,ETH,ET010101,5.5,5.5
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2000,6,0,ETH,ET010101,0.0,0.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2006,1,75,ETH,ET010101,37.5,37.5
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2009,4,29,ETH,ET010101,14.5,14.5
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2010,5,0,ETH,ET010101,0.0,0.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2013,10,1,ETH,ET010101,0.5,0.5
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2013,11,12,ETH,ET010101,6.0,6.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2015,7,30,ETH,ET010101,15.0,15.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2020,11,50,ETH,ET010101,25.0,25.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2020,12,0,ETH,ET010101,0.0,0.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2021,1,56,ETH,ET010101,28.0,28.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2021,3,0,ETH,ET010101,0.0,0.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2022,1,0,ETH,ET010101,0.0,0.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2022,5,1,ETH,ET010101,0.5,0.5
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2022,8,0,ETH,ET010101,0.0,0.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2022,9,50,ETH,ET010101,25.0,25.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2022,10,0,ETH,ET010101,0.0,0.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2023,5,0,ETH,ET010101,0.0,0.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2023,6,3,ETH,ET010101,1.5,1.5
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2025,1,0,ETH,ET010101,0.0,0.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2025,2,0,ETH,ET010101,0.0,0.0
ET010101,Tahtay Adiyabo,ET0101,North Western,ET01,Tigray,ET,2025,8,0,ETH,ET010101,0.0,0.0
ET010102,Laelay Adiabo,ET0101,North Western,ET01,Tigray,ET,2021,1,0,ETH,ET010102,0.0,0.0
ET010102,Laelay Adiabo,ET0101,North Western,ET01,Tigray,ET,2021,3,0,ETH,ET010102,0.0,0.0
ET010103,Zana,ET0101,North Western,ET01,Tigray,ET,2021,2,0,ETH,ET010103,0.0,0.0
ET010103,Zana,ET0101,North Western,ET01,Tigray,ET,2021,3,0,ETH,ET010103,0.0,0.0
ET010103,Zana,ET0101,North Western,ET01,Tigray,ET,2021,4,0,ETH,ET010103,0.0,0.0
ET010103,Zana,ET0101,North Western,ET01,Tigray,ET,2022,9,0,ETH,ET010103,0.0,0.0
ET010103,Zana,ET0101,North Western,ET01,Tigray,ET,2022,10,0,ETH,ET010103,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,1998,7,18,ETH,ET010104,9.0,9.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2002,8,28,ETH,ET010104,14.0,14.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2008,3,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2010,3,1,ETH,ET010104,0.5,0.5
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2010,5,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2013,1,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2013,10,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2019,1,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2020,11,5,ETH,ET010104,2.5,2.5
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2020,12,3,ETH,ET010104,1.5,1.5
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2021,1,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2021,2,2,ETH,ET010104,1.0,1.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2021,3,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2021,5,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2021,6,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2022,3,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2022,8,4,ETH,ET010104,2.0,2.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2022,9,4,ETH,ET010104,2.0,2.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2022,10,3,ETH,ET010104,1.5,1.5
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2022,11,5,ETH,ET010104,2.5,2.5
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2022,12,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2023,1,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2023,2,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2023,5,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2023,12,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2024,1,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2024,3,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2024,9,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2025,1,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2025,2,0,ETH,ET010104,0.0,0.0
ET010104,Tahtay Koraro,ET0101,North Western,ET01,Tigray,ET,2025,7,3,ETH,ET010104,1.5,1.5
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2020,11,16,ETH,ET010105,8.0,8.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2020,12,0,ETH,ET010105,0.0,0.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2021,1,0,ETH,ET010105,0.0,0.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2021,2,0,ETH,ET010105,0.0,0.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2021,3,0,ETH,ET010105,0.0,0.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2021,6,0,ETH,ET010105,0.0,0.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2021,11,0,ETH,ET010105,0.0,0.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2022,1,56,ETH,ET010105,28.0,28.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2022,8,6,ETH,ET010105,3.0,3.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2022,9,0,ETH,ET010105,0.0,0.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2022,10,1,ETH,ET010105,0.5,0.5
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2024,1,1,ETH,ET010105,0.5,0.5
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2024,4,22,ETH,ET010105,11.0,11.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2024,12,0,ETH,ET010105,0.0,0.0
ET010105,Asgede,ET0101,North Western,ET01,Tigray,ET,2025,1,0,ETH,ET010105,0.0,0.0
ET010106,Tselemti,ET0101,North Western,ET01,Tigray,ET,2020,11,0,ETH,ET010106,0.0,0.0
ET010106,Tselemti,ET0101,North Western,ET01,Tigray,ET,2020,12,0,ETH,ET010106,0.0,0.0
ET010106,Tselemti,ET0101,North Western,ET01,Tigray,ET,2021,1,0,ETH,ET010106,0.0,0.0
ET010106,Tselemti,ET0101,North Western,ET01,Tigray,ET,2021,7,6,ETH,ET010106,3.0,3.0
ET010106,Tselemti,ET0101,North Western,ET01,Tigray,ET,2021,8,2,ETH,ET010106,1.0,1.0
ET010106,Tselemti,ET0101,North Western,ET01,Tigray,ET,2022,1,3,ETH,ET010106,1.5,1.5
ET010107,Sheraro town,ET0101,North Western,ET01,Tigray,ET,2020,11,0,ETH,ET010107,0.0,0.0
ET010107,Sheraro town,ET0101,North Western,ET01,Tigray,ET,2020,12,0,ETH,ET010107,0.0,0.0
ET010107,Sheraro town,ET0101,North Western,ET01,Tigray,ET,2022,8,0,ETH,ET010107,0.0,0.0
ET010107,Sheraro town,ET0101,North Western,ET01,Tigray,ET,2022,9,0,ETH,ET010107,0.0,0.0
ET010107,Sheraro town,ET0101,North Western,ET01,Tigray,ET,2022,10,0,ETH,ET010107,0.0,0.0
ET010107,Sheraro town,ET0101,North Western,ET01,Tigray,ET,2024,1,0,ETH,ET010107,0.0,0.0
ET010107,Sheraro town,ET0101,North Western,ET01,Tigray,ET,2024,6,0,ETH,ET010107,0.0,0.0
ET010108,Indasilassie town,ET0101,North Western,ET01,Tigray,ET,2021,2,0,ETH,ET010108,0.0,0.0
ET010108,Indasilassie town,ET0101,North Western,ET01,Tigray,ET,2024,6,0,ETH,ET010108,0.0,0.0
ET010109,Selekleka,ET0101,North Western,ET01,Tigray,ET,2021,1,0,ETH,ET010109,0.0,0.0
ET010109,Selekleka,ET0101,North Western,ET01,Tigray,ET,2021,2,1,ETH,ET010109,0.5,0.5
ET010109,Selekleka,ET0101,North Western,ET01,Tigray,ET,2021,4,33,ETH,ET010109,16.5,16.5
ET010109,Selekleka,ET0101,North Western,ET01,Tigray,ET,2021,6,10,ETH,ET010109,5.0,5.0
ET010109,Selekleka,ET0101,North Western,ET01,Tigray,ET,2025,1,0,ETH,ET010109,0.0,0.0
ET010110,Seyemti Adyabo,ET0101,North Western,ET01,Tigray,ET,2020,11,0,ETH,ET010110,0.0,0.0
ET010110,Seyemti Adyabo,ET0101,North Western,ET01,Tigray,ET,2020,12,0,ETH,ET010110,0.0,0.0
ET010110,Seyemti Adyabo,ET0101,North Western,ET01,Tigray,ET,2021,2,0,ETH,ET010110,0.0,0.0
ET010110,Seyemti Adyabo,ET0101,North Western,ET01,Tigray,ET,2022,9,0,ETH,ET010110,0.0,0.0
ET010111,Adi Daero,ET0101,North Western,ET01,Tigray,ET,2020,11,0,ETH,ET010111,0.0,0.0
ET010111,Adi Daero,ET0101,North Western,ET01,Tigray,ET,2020,12,0,ETH,ET010111,0.0,0.0
ET010111,Adi Daero,ET0101,North Western,ET01,Tigray,ET,2021,1,0,ETH,ET010111,0.0,0.0
ET010111,Adi Daero,ET0101,North Western,ET01,Tigray,ET,2021,2,0,ETH,ET010111,0.0,0.0
ET010111,Adi Daero,ET0101,North Western,ET01,Tigray,ET,2021,6,25,ETH,ET010111,12.5,12.5
ET010111,Adi Daero,ET0101,North Western,ET01,Tigray,ET,2022,8,0,ETH,ET010111,0.0,0.0
ET010111,Adi Daero,ET0101,North Western,ET01,Tigray,ET,2022,9,5,ETH,ET010111,2.5,2.5
ET010111,Adi Daero,ET0101,North Western,ET01,Tigray,ET,2022,10,50,ETH,ET010111,25.0,25.0
ET010111,Adi Daero,ET0101,North Western,ET01,Tigray,ET,2025,1,0,ETH,ET010111,0.0,0.0
ET010112,Adi Hageray,ET0101,North Western,ET01,Tigray,ET,2022,5,120,ETH,ET010112,60.0,60.0
ET010112,Adi Hageray,ET0101,North Western,ET01,Tigray,ET,2022,9,0,ETH,ET010112,0.0,0.0
ET010112,Adi Hageray,ET0101,North Western,ET01,Tigray,ET,2022,10,0,ETH,ET010112,0.0,0.0
ET010113,Tsimbla,ET0101,North Western,ET01,Tigray,ET,2021,1,30,ETH,ET010113,15.0,15.0
ET010113,Tsimbla,ET0101,North Western,ET01,Tigray,ET,2021,2,0,ETH,ET010113,0.0,0.0
ET010113,Tsimbla,ET0101,North Western,ET01,Tigray,ET,2021,3,0,ETH,ET010113,0.0,0.0
ET010114,Endabaguna town,ET0101,North Western,ET01,Tigray,ET,2021,2,0,ETH,ET010114,0.0,0.0
ET010114,Endabaguna town,ET0101,North Western,ET01,Tigray,ET,2023,3,0,ETH,ET010114,0.0,0.0
ET010114,Endabaguna town,ET0101,North Western,ET01,Tigray,ET,2023,9,1,ETH,ET010114,0.5,0.5
ET010114,Endabaguna town,ET0101,North Western,ET01,Tigray,ET,2024,1,0,ETH,ET010114,0.0,0.0
ET010114,Endabaguna town,ET0101,North Western,ET01,Tigray,ET,2025,1,0,ETH,ET010114,0.0,0.0
ET010115,Dima (TG),ET0101,North Western,ET01,Tigray,ET,2021,1,0,ETH,ET010115,0.0,0.0
ET010115,Dima (TG),ET0101,North Western,ET01,Tigray,ET,2021,2,0,ETH,ET010115,0.0,0.0
ET010115,Dima (TG),ET0101,North Western,ET01,Tigray,ET,2021,3,0,ETH,ET010115,0.0,0.0
ET010115,Dima (TG),ET0101,North Western,ET01,Tigray,ET,2023,6,0,ETH,ET010115,0.0,0.0
ET010115,Dima (TG),ET0101,North Western,ET01,Tigray,ET,2023,7,0,ETH,ET010115,0.0,0.0
ET010115,Dima (TG),ET0101,North Western,ET01,Tigray,ET,2025,8,4,ETH,ET010115,2.0,2.0
ET010116,May Tsebri town,ET0101,North Western,ET01,Tigray,ET,2020,11,0,ETH,ET010116,0.0,0.0
ET010116,May Tsebri town,ET0101,North Western,ET01,Tigray,ET,2020,12,0,ETH,ET010116,0.0,0.0
ET010116,May Tsebri town,ET0101,North Western,ET01,Tigray,ET,2021,7,1,ETH,ET010116,0.5,0.5
ET010116,May Tsebri town,ET0101,North Western,ET01,Tigray,ET,2021,8,46,ETH,ET010116,23.0,23.0
ET010116,May Tsebri town,ET0101,North Western,ET01,Tigray,ET,2021,9,64,ETH,ET010116,32.0,32.0
ET010116,May Tsebri town,ET0101,North Western,ET01,Tigray,ET,2021,10,0,ETH,ET010116,0.0,0.0
ET010116,May Tsebri town,ET0101,North Western,ET01,Tigray,ET,2021,11,0,ETH,ET010116,0.0,0.0
ET010116,May Tsebri town,ET0101,North Western,ET01,Tigray,ET,2022,1,17,ETH,ET010116,8.5,8.5
ET010116,May Tsebri town,ET0101,North Western,ET01,Tigray,ET,2022,9,32,ETH,ET010116,16.0,16.0
ET010116,May Tsebri town,ET0101,North Western,ET01,Tigray,ET,2023,6,0,ETH,ET010116,0.0,0.0
ET010116,May Tsebri town,ET0101,North Western,ET01,Tigray,ET,2024,4,0,ETH,ET010116,0.0,0.0
ET010116,May Tsebri town,ET0101,North Western,ET01,Tigray,ET,2024,6,0,ETH,ET010116,0.0,0.0
ET010116,May Tsebri town,ET0101,North Western,ET01,Tigray,ET,2025,8,4,ETH,ET010116,2.0,2.0
ET010201,Chila,ET0102,Central,ET01,Tigray,ET,2021,3,0,ETH,ET010201,0.0,0.0
ET010202,Aheferom,ET0102,Central,ET01,Tigray,ET,2020,11,15,ETH,ET010202,7.5,7.5
ET010202,Aheferom,ET0102,Central,ET01,Tigray,ET,2021,1,0,ETH,ET010202,0.0,0.0
ET010202,Aheferom,ET0102,Central,ET01,Tigray,ET,2025,6,0,ETH,ET010202,0.0,0.0
ET010203,Edaga arbi,ET0102,Central,ET01,Tigray,ET,2004,12,3,ETH,ET010203,1.5,1.5
ET010203,Edaga arbi,ET0102,Central,ET01,Tigray,ET,2021,3,0,ETH,ET010203,0.0,0.0
ET010204,Adwa,ET0102,Central,ET01,Tigray,ET,2020,11,0,ETH,ET010204,0.0,0.0
ET010204,Adwa,ET0102,Central,ET01,Tigray,ET,2020,12,0,ETH,ET010204,0.0,0.0
ET010204,Adwa,ET0102,Central,ET01,Tigray,ET,2021,3,0,ETH,ET010204,0.0,0.0
ET010204,Adwa,ET0102,Central,ET01,Tigray,ET,2022,10,167,ETH,ET010204,83.5,83.5
ET010204,Adwa,ET0102,Central,ET01,Tigray,ET,2025,6,0,ETH,ET010204,0.0,0.0
ET010205,Laelay Maychew,ET0102,Central,ET01,Tigray,ET,2020,11,0,ETH,ET010205,0.0,0.0
ET010205,Laelay Maychew,ET0102,Central,ET01,Tigray,ET,2020,12,0,ETH,ET010205,0.0,0.0
ET010205,Laelay Maychew,ET0102,Central,ET01,Tigray,ET,2021,2,0,ETH,ET010205,0.0,0.0
ET010205,Laelay Maychew,ET0102,Central,ET01,Tigray,ET,2023,1,0,ETH,ET010205,0.0,0.0
ET010206,Tahtay Mayechew,ET0102,Central,ET01,Tigray,ET,2020,11,0,ETH,ET010206,0.0,0.0
ET010206,Tahtay Mayechew,ET0102,Central,ET01,Tigray,ET,2020,12,0,ETH,ET010206,0.0,0.0
ET010206,Tahtay Mayechew,ET0102,Central,ET01,Tigray,ET,2021,1,0,ETH,ET010206,0.0,0.0
ET010206,Tahtay Mayechew,ET0102,Central,ET01,Tigray,ET,2021,2,0,ETH,ET010206,0.0,0.0
ET010207,Adet,ET0102,Central,ET01,Tigray,ET,2021,2,0,ETH,ET010207,0.0,0.0
ET010207,Adet,ET0102,Central,ET01,Tigray,ET,2024,7,1,ETH,ET010207,0.5,0.5
ET010208,Kola Temben,ET0102,Central,ET01,Tigray,ET,2020,11,0,ETH,ET010208,0.0,0.0
ET010208,Kola Temben,ET0102,Central,ET01,Tigray,ET,2020,12,0,ETH,ET010208,0.0,0.0
ET010208,Kola Temben,ET0102,Central,ET01,Tigray,ET,2021,1,0,ETH,ET010208,0.0,0.0
ET010208,Kola Temben,ET0102,Central,ET01,Tigray,ET,2021,2,0,ETH,ET010208,0.0,0.0
ET010208,Kola Temben,ET0102,Central,ET01,Tigray,ET,2021,3,0,ETH,ET010208,0.0,0.0
ET010208,Kola Temben,ET0102,Central,ET01,Tigray,ET,2024,1,0,ETH,ET010208,0.0,0.0
ET010208,Kola Temben,ET0102,Central,ET01,Tigray,ET,2024,5,2,ETH,ET010208,1.0,1.0
ET010209,Naeder,ET0102,Central,ET01,Tigray,ET,2021,1,11,ETH,ET010209,5.5,5.5
ET010209,Naeder,ET0102,Central,ET01,Tigray,ET,2021,2,0,ETH,ET010209,0.0,0.0
ET010210,Abergele (TG),ET0102,Central,ET01,Tigray,ET,2020,11,0,ETH,ET010210,0.0,0.0
ET010210,Abergele (TG),ET0102,Central,ET01,Tigray,ET,2020,12,0,ETH,ET010210,0.0,0.0
ET010210,Abergele (TG),ET0102,Central,ET01,Tigray,ET,2021,1,0,ETH,ET010210,0.0,0.0
ET010210,Abergele (TG),ET0102,Central,ET01,Tigray,ET,2021,2,0,ETH,ET010210,0.0,0.0
ET010210,Abergele (TG),ET0102,Central,ET01,Tigray,ET,2021,3,0,ETH,ET010210,0.0,0.0
ET010210,Abergele (TG),ET0102,Central,ET01,Tigray,ET,2021,6,114,ETH,ET010210,57.0,57.0
ET010210,Abergele (TG),ET0102,Central,ET01,Tigray,ET,2022,10,0,ETH,ET010210,0.0,0.0
ET010210,Abergele (TG),ET0102,Central,ET01,Tigray,ET,2024,10,3,ETH,ET010210,1.5,1.5
ET010210,Abergele (TG),ET0102,Central,ET01,Tigray,ET,2025,9,2,ETH,ET010210,1.0,1.0
ET010212,Adwa town,ET0102,Central,ET01,Tigray,ET,2002,6,0,ETH,ET010212,0.0,0.0
ET010212,Adwa town,ET0102,Central,ET01,Tigray,ET,2003,9,1,ETH,ET010212,0.5,0.5
ET010212,Adwa town,ET0102,Central,ET01,Tigray,ET,2009,4,120,ETH,ET010212,60.0,60.0
ET010212,Adwa town,ET0102,Central,ET01,Tigray,ET,2018,11,0,ETH,ET010212,0.0,0.0
ET010212,Adwa town,ET0102,Central,ET01,Tigray,ET,2020,11,40,ETH,ET010212,20.0,20.0
ET010212,Adwa town,ET0102,Central,ET01,Tigray,ET,2020,12,1,ETH,ET010212,0.5,0.5
ET010212,Adwa town,ET0102,Central,ET01,Tigray,ET,2021,2,0,ETH,ET010212,0.0,0.0
ET010212,Adwa town,ET0102,Central,ET01,Tigray,ET,2021,4,9,ETH,ET010212,4.5,4.5
ET010212,Adwa town,ET0102,Central,ET01,Tigray,ET,2021,6,10,ETH,ET010212,5.0,5.0
ET010212,Adwa town,ET0102,Central,ET01,Tigray,ET,2021,10,0,ETH,ET010212,0.0,0.0
ET010212,Adwa town,ET0102,Central,ET01,Tigray,ET,2022,10,20,ETH,ET010212,10.0,10.0
ET010212,Adwa town,ET0102,Central,ET01,Tigray,ET,2022,12,0,ETH,ET010212,0.0,0.0
ET010212,Adwa town,ET0102,Central,ET01,Tigray,ET,2023,5,0,ETH,ET010212,0.0,0.0
ET010212,Adwa town,ET0102,Central,ET01,Tigray,ET,2024,1,0,ETH,ET010212,0.0,0.0
ET010212,Adwa town,ET0102,Central,ET01,Tigray,ET,2024,3,0,ETH,ET010212,0.0,0.0
ET010212,Adwa town,ET0102,Central,ET01,Tigray,ET,2024,6,0,ETH,ET010212,0.0,0.0
ET010212,Adwa town,ET0102,Central,ET01,Tigray,ET,2025,1,0,ETH,ET010212,0.0,0.0
ET010212,Adwa town,ET0102,Central,ET01,Tigray,ET,2025,5,0,ETH,ET010212,0.0,0.0
ET010213,Axum town,ET0102,Central,ET01,Tigray,ET,2020,11,250,ETH,ET010213,125.0,125.0
ET010213,Axum town,ET0102,Central,ET01,Tigray,ET,2020,12,0,ETH,ET010213,0.0,0.0
ET010213,Axum town,ET0102,Central,ET01,Tigray,ET,2021,1,0,ETH,ET010213,0.0,0.0
ET010213,Axum town,ET0102,Central,ET01,Tigray,ET,2021,2,0,ETH,ET010213,0.0,0.0
ET010213,Axum town,ET0102,Central,ET01,Tigray,ET,2021,4,1,ETH,ET010213,0.5,0.5
ET010213,Axum town,ET0102,Central,ET01,Tigray,ET,2021,6,0,ETH,ET010213,0.0,0.0
ET010213,Axum town,ET0102,Central,ET01,Tigray,ET,2022,10,5,ETH,ET010213,2.5,2.5
ET010213,Axum town,ET0102,Central,ET01,Tigray,ET,2022,11,4,ETH,ET010213,2.0,2.0
ET010213,Axum town,ET0102,Central,ET01,Tigray,ET,2022,12,0,ETH,ET010213,0.0,0.0
ET010213,Axum town,ET0102,Central,ET01,Tigray,ET,2023,2,0,ETH,ET010213,0.0,0.0
ET010213,Axum town,ET0102,Central,ET01,Tigray,ET,2023,5,0,ETH,ET010213,0.0,0.0
ET010213,Axum town,ET0102,Central,ET01,Tigray,ET,2024,1,0,ETH,ET010213,0.0,0.0
ET010213,Axum town,ET0102,Central,ET01,Tigray,ET,2024,6,0,ETH,ET010213,0.0,0.0
ET010213,Axum town,ET0102,Central,ET01,Tigray,ET,2024,8,0,ETH,ET010213,0.0,0.0
ET010213,Axum town,ET0102,Central,ET01,Tigray,ET,2025,1,0,ETH,ET010213,0.0,0.0
ET010213,Axum town,ET0102,Central,ET01,Tigray,ET,2025,6,0,ETH,ET010213,0.0,0.0
ET010214,Rama,ET0102,Central,ET01,Tigray,ET,2000,6,0,ETH,ET010214,0.0,0.0
ET010214,Rama,ET0102,Central,ET01,Tigray,ET,2021,1,0,ETH,ET010214,0.0,0.0
ET010214,Rama,ET0102,Central,ET01,Tigray,ET,2021,2,0,ETH,ET010214,0.0,0.0
ET010214,Rama,ET0102,Central,ET01,Tigray,ET,2022,5,0,ETH,ET010214,0.0,0.0
ET010214,Rama,ET0102,Central,ET01,Tigray,ET,2022,9,0,ETH,ET010214,0.0,0.0
ET010214,Rama,ET0102,Central,ET01,Tigray,ET,2022,10,10,ETH,ET010214,5.0,5.0
ET010214,Rama,ET0102,Central,ET01,Tigray,ET,2025,6,0,ETH,ET010214,0.0,0.0
ET010217,Hahayle,ET0102,Central,ET01,Tigray,ET,2021,2,0,ETH,ET010217,0.0,0.0
ET010217,Hahayle,ET0102,Central,ET01,Tigray,ET,2021,3,0,ETH,ET010217,0.0,0.0
ET010218,Endafelasi,ET0102,Central,ET01,Tigray,ET,2020,11,21,ETH,ET010218,10.5,10.5
ET010218,Endafelasi,ET0102,Central,ET01,Tigray,ET,2021,1,0,ETH,ET010218,0.0,0.0
ET010218,Endafelasi,ET0102,Central,ET01,Tigray,ET,2021,2,0,ETH,ET010218,0.0,0.0
ET010218,Endafelasi,ET0102,Central,ET01,Tigray,ET,2021,3,0,ETH,ET010218,0.0,0.0
ET010218,Endafelasi,ET0102,Central,ET01,Tigray,ET,2024,11,0,ETH,ET010218,0.0,0.0
ET010219,Emba Sieneti,ET0102,Central,ET01,Tigray,ET,2020,11,10,ETH,ET010219,5.0,5.0
ET010219,Emba Sieneti,ET0102,Central,ET01,Tigray,ET,2021,2,0,ETH,ET010219,0.0,0.0
ET010219,Emba Sieneti,ET0102,Central,ET01,Tigray,ET,2021,3,0,ETH,ET010219,0.0,0.0
ET010219,Emba Sieneti,ET0102,Central,ET01,Tigray,ET,2024,1,1,ETH,ET010219,0.5,0.5
ET010219,Emba Sieneti,ET0102,Central,ET01,Tigray,ET,2025,1,0,ETH,ET010219,0.0,0.0
ET010220,Enticho town,ET0102,Central,ET01,Tigray,ET,2022,10,0,ETH,ET010220,0.0,0.0
ET010220,Enticho town,ET0102,Central,ET01,Tigray,ET,2025,1,0,ETH,ET010220,0.0,0.0
ET010221,Keyhe tekli,ET0102,Central,ET01,Tigray,ET,2020,11,0,ETH,ET010221,0.0,0.0
ET010221,Keyhe tekli,ET0102,Central,ET01,Tigray,ET,2020,12,25,ETH,ET010221,12.5,12.5
ET010221,Keyhe tekli,ET0102,Central,ET01,Tigray,ET,2021,1,0,ETH,ET010221,0.0,0.0
ET010221,Keyhe tekli,ET0102,Central,ET01,Tigray,ET,2021,2,0,ETH,ET010221,0.0,0.0
ET010221,Keyhe tekli,ET0102,Central,ET01,Tigray,ET,2021,3,0,ETH,ET010221,0.0,0.0
ET010221,Keyhe tekli,ET0102,Central,ET01,Tigray,ET,2021,4,11,ETH,ET010221,5.5,5.5
ET010221,Keyhe tekli,ET0102,Central,ET01,Tigray,ET,2022,9,2,ETH,ET010221,1.0,1.0
ET010221,Keyhe tekli,ET0102,Central,ET01,Tigray,ET,2022,10,0,ETH,ET010221,0.0,0.0
ET010221,Keyhe tekli,ET0102,Central,ET01,Tigray,ET,2023,9,3,ETH,ET010221,1.5,1.5
